row,col,color_id,R,G,B
1,1,A1,74.27389526367188,163.37725830078125,105.95060729980469
1,2,B1,160.23550415039062,416.4212646484375,271.0098571777344
1,3,C1,73.42269134521484,369.36285400390625,360.6944580078125
1,4,D1,55.71466064453125,248.48513793945312,112.83668518066406
1,5,E1,100.27600860595703,410.0877990722656,423.00726318359375
1,6,F1,104.24847412109375,591.8289184570312,383.5712585449219
2,1,A2,180.7839813232422,259.0666198730469,72.36333465576172
2,2,B2,48.97331619262695,249.71417236328125,342.8751220703125
2,3,C2,152.4702911376953,180.9481201171875,140.51914978027344
2,4,D2,54.18227005004883,135.40914916992188,182.33712768554688
2,5,E2,150.0673828125,523.9324951171875,149.7111358642578
2,6,F2,210.79483032226562,415.9035949707031,106.11693572998047
3,1,A3,29.98798942565918,171.81297302246094,282.6947326660156
3,2,B3,62.02751159667969,414.2652893066406,143.34945678710938
3,3,C3,131.075927734375,85.89957427978516,59.59107208251953
3,4,D3,241.83746337890625,558.201904296875,124.7003173828125
3,5,E3,151.4642791748047,227.9096221923828,273.4701843261719
3,6,F3,76.57917785644531,556.9810791015625,357.4129943847656
4,1,A4,266.7527770996094,997.8108520507812,713.9996337890625
4,2,B4,184.33375549316406,702.6286010742188,507.4428405761719
4,3,C4,159.0316925048828,608.5382690429688,445.6073303222656
4,4,D4,111.83736419677734,434.1112060546875,317.91241455078125
4,5,E4,56.49028015136719,226.60232543945312,171.3131561279297
4,6,F4,20.075849533081055,80.01056671142578,62.84830856323242
